account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
R3238520210,2069 S WELLS AVE,GRAMERCY SUB NO 02,2.3557,2.358,924400,City of Meridian,TN-R,Traditional Neighborhood Residential,Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.409,0.732,109,8.26,4,43.586392,-116.363733,74.4,PAR #0210 POR LTS 44 & 45 BL 3 GRAMERCY SUB NO 02 PARCEL B ROS 11967 #0100-S #02
S1133120725,5200 S HILLSDALE AVE,3N 1E 33,5.33,5.34,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,2.477,0.754,74,12.11,3,43.558353,-116.343571,74.2,PAR #0725 POR NW4NE4 SEC 33 3N 1E #120708-B
R2391230370,6643 W CASSIA ST,ENGLEFIELD GREEN SUB NO 02,4.6174,4.605,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Mixed Use,Mixed Use,supports multifamily,4.826,0.684,25,30.25,3,43.597804,-116.264765,72.6,LOT 01  BLK 11 ENGLEFIELD GREENS SUB NO 02
S1105110111,3100 N CENTREPOINT WAY,3N 1E 05,9.9846,9.972,5418900,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,2.833,0.568,81,11.14,2,43.632874,-116.357795,72.5,PAR #0111 @ NE4NE4 SEC 5 3N 1E #110110-B
S1105110120,3030 N CAJUN LN,3N 1E 05,1.1599,1.161,1379400,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,2.812,0.752,81,11.14,2,43.632411,-116.355018,72.5,PAR #0020 NE4NE4 SEC 5 3N 1E PARCEL F R/S 11747 #110100-B
S1130315225,4200 S WINDSTONE AVE,3N 1E 30,25.0732,25.08,551800,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,MU-C,Mixed Use – Community,supports multifamily,2.288,0.702,32,25.07,1,43.565019,-116.387505,72.5,PAR #5225 OF E2SW4 SEC 30 3N 1E #314840-S #98065604
R8483070900,287 S BENCHMARK WAY,TM CREEK SUB NO 07,2.6611,2.663,,City of Meridian,R-40,Meridian High Density Res (40 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.225,0.664,48,18.22,6,43.602123,-116.423772,71.8,LOT 22 BLK 03 TM CREEK SUB NO 07
R8483071000,375 S BENCHMARK WAY,TM CREEK SUB NO 07,2.1626,2.164,,City of Meridian,R-40,Meridian High Density Res (40 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.226,0.734,48,18.22,6,43.601473,-116.42399,71.8,LOT 23 BLK 03 TM CREEK SUB NO 07
R7909770150,1920 S SILVERSTONE WAY,SILVERSTONE SUB,4.236,4.24,3102900,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.613,0.696,136,5.97,2,43.587202,-116.350505,71.7,LOT 04 BLK 02 SILVERSTONE SUB
R7909850300,1907 S COBALT POINT WAY,SILVERSTONE CAMPUS SUB,1.7382,1.739,1287800,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.685,0.74,136,5.97,2,43.587271,-116.348799,71.6,LOT 02 BLK 04 SILVERSTONE CAMPUS SUB
