region_code,region_name,region_basename,state,region_type,total_in,total_out,total_net,total_natural_growth,total_international_migration,avg_seasonal_visitors,latest_adjusted_population,latest_median_hhi,latest_median_age,latest_percent_white,latest_percent_asian,latest_percent_black_or_african_american,latest_percent_hispanic_or_latino,latest_percent_bachelor_and_higher,latest_average_household_value,latest_arealand,latest_population_density,latest_pop_change_forecast,weighted_avg_median_hhi_in,weighted_avg_median_age_in,weighted_avg_percent_white_in,weighted_avg_percent_asian_in,weighted_avg_percent_black_or_african_american_in,weighted_avg_percent_hispanic_or_latino_in,total_gross_migration,calc_net_migration_pct,calc_hhi_ratio,calc_age_diff,calc_white_diff,calc_asian_diff,calc_black_diff,calc_hispanic_diff,calc_pop_change,calc_pop_change_pct
40090,"Rifle, CO Micro Area","Rifle, CO Micro Area, Colorado",Colorado,cbsa,2988,2652,336,403,317,2275.6,80636.98,94178.63,39.3,0.66,0.01,0.01,0.28,0.25,511283.61,3917.7,20.58,0.1107,92113.38,39.51,0.65,0.04,0.06,0.2,5640,0.004166822715830876,0.9780709275554338,0.21000000000000085,-0.010000000000000009,0.03,0.049999999999999996,-0.08000000000000002,1056,0.01326950233585965
31060,"Los Alamos, NM Micro Area","Los Alamos, NM Micro Area, New Mexico",New Mexico,cbsa,1471,1136,335,13,216,722.33,20491.53,146412.69,39.3,0.7,0.05,0.01,0.18,0.26,135099.92,109.12,187.79,-0.0022,79398.3,38.33,0.5,0.05,0.09,0.33,2607,0.016348218019835513,0.5422911087829887,-0.9699999999999989,-0.19999999999999996,0,0.08,0.15000000000000002,564,0.028302554305526074
43060,"Shawnee, OK Micro Area","Shawnee, OK Micro Area, Oklahoma",Oklahoma,cbsa,3515,3182,333,-247,52,1919.37,74743.91,61519.78,37.9,0.7,0.01,0.03,0.06,0.14,126983.8,787.72,94.89,0.0322,71786.81,36.39,0.61,0.03,0.09,0.16,6697,0.004455212471490988,1.1668899011017269,-1.509999999999998,-0.08999999999999997,0.019999999999999997,0.06,0.1,138,0.001849719412309293
21980,"Fallon, NV Micro Area","Fallon, NV Micro Area, Nevada",Nevada,cbsa,1732,1399,333,-65,39,597.14,27539.08,78997.04,40.4,0.71,0.02,0.02,0.15,0.13,164705.26,4949.87,5.56,0.0482,83405.82,38.04,0.56,0.05,0.11,0.21,3131,0.012091907209681658,1.055809432859763,-2.3599999999999994,-0.1499999999999999,0.030000000000000002,0.09,0.06,307,0.011273468644334182
25720,"Heber, UT Micro Area","Heber, UT Micro Area, Utah",Utah,cbsa,4191,3860,332,442,546,3023.89,79918.21,126739.34,39.2,0.82,0.01,0,0.13,0.35,403666.07,3224.09,24.79,0.1112,93472.01,35.39,0.67,0.05,0.05,0.18,8051,0.004154247198479545,0.7375137822242092,-3.8100000000000023,-0.1499999999999999,0.04,0.05,0.04999999999999999,1320,0.016794275594825887
47240,"Vineyard Haven, MA Micro Area","Vineyard Haven, MA Micro Area, Massachusetts",Massachusetts,cbsa,1228,896,332,0,195,1590.79,17252.82,126345.53,50.7,0.8,0.01,0.03,0.03,0.27,599003.93,103.2,167.18,0.0343,112169.43,51.12,0.77,0.05,0.11,0.24,2124,0.01924323096166308,0.8877989589342812,0.4199999999999946,-0.030000000000000027,0.04,0.08,0.21,527,0.031508171198781285
18500,"Corning, NY Micro Area","Corning, NY Micro Area, New York",New York,cbsa,3861,3530,331,-182,195,1826.52,95595.17,66900.77,43,0.91,0.02,0.02,0.02,0.14,79311,1390.21,68.76,-0.017,80769.05,45.77,0.76,0.03,0.09,0.14,7391,0.0034625180330763576,1.2072962687873399,2.770000000000003,-0.15000000000000002,0.009999999999999998,0.06999999999999999,0.12000000000000001,344,0.003611504194646638
10140,"Aberdeen, WA Micro Area","Aberdeen, WA Micro Area, Washington",Washington,cbsa,2972,2643,329,-403,234,1098.69,71798.09,64415.57,44.7,0.76,0.01,0.01,0.11,0.12,161848.54,1901.08,37.77,0.0112,92337.28,39.78,0.65,0.07,0.05,0.16,5615,0.004582294598644616,1.4334621272465649,-4.920000000000002,-0.10999999999999999,0.060000000000000005,0.04,0.05,160,0.002233448714224514
23680,"Gallipolis, OH Micro Area","Gallipolis, OH Micro Area, Ohio",Ohio,cbsa,1020,698,322,-130,13,801.43,29268.65,57211.76,41.4,0.93,0.01,0.02,0.01,0.11,62315.89,466.52,62.74,-0.0022,67337.64,39.49,0.7,0.03,0.16,0.1,1718,0.011001532356292483,1.1769894860776875,-1.9099999999999966,-0.2300000000000001,0.019999999999999997,0.14,0.09000000000000001,205,0.007053484335243508
47220,"Vineland, NJ Metro Area","Vineland, NJ Metro Area, New Jersey",New Jersey,cbsa,5593,5272,320,91,1534,2024.35,158106.96,68263.59,37.7,0.41,0.01,0.16,0.36,0.13,98863.05,483.35,327.11,0.0207,86563.52,41.05,0.58,0.06,0.15,0.16,10865,0.002023946320895677,1.2680774626708031,3.3499999999999943,0.16999999999999998,0.049999999999999996,-0.010000000000000009,-0.19999999999999998,1945,0.012455017854540248
14300,"Bonham, TX Micro Area","Bonham, TX Micro Area, Texas",Texas,cbsa,3224,2908,317,-130,13,625.94,40489.92,71409.58,41,0.75,0,0.06,0.13,0.13,144136.36,877.71,46.13,0.0257,81185.6,37.23,0.54,0.05,0.12,0.25,6132,0.007829109072085103,1.136900679152573,-3.770000000000003,-0.20999999999999996,0.05,0.06,0.12,200,0.004964020777405366
45020,"Sweetwater, TX Micro Area","Sweetwater, TX Micro Area, Texas",Texas,cbsa,1391,1074,317,-26,0,433,15274.19,50938.45,39.3,0.54,0,0.03,0.37,0.11,71919.4,911.95,16.75,0.0224,75186.39,37.31,0.54,0.03,0.09,0.35,2465,0.020753964694690846,1.4760242999148974,-1.9899999999999949,0,0.03,0.06,-0.020000000000000018,291,0.019421765325007556
12180,"Auburn, NY Micro Area","Auburn, NY Micro Area, New York",New York,cbsa,3597,3281,316,-143,65,1943.66,77401,68323.99,43.8,0.87,0.01,0.03,0.04,0.13,92993.09,691.48,111.93,-0.0215,79351.58,41.96,0.73,0.04,0.09,0.12,6878,0.00408263459128435,1.1614014345473676,-1.8399999999999963,-0.14,0.03,0.06,0.07999999999999999,238,0.0030843798193434676
