Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Binghamton, NY Metro Area, New York",,12,6,6,238423.04,65420.0799895896,40.3,In-State
"Butte-Silver Bow, MT Micro Area, Montana",,6,0,6,34757.34,61299.42407216469,40.5,In-State
"Durham-Chapel Hill, NC Metro Area, North Carolina",,6,0,6,642678.5,85128.30403301865,37.9,In-State
"Fayetteville, NC Metro Area, North Carolina",,16,10,6,417346.66,62089.2650289148,32.3,In-State
"Lufkin, TX Micro Area, Texas",,6,0,6,88404.59,61193.76458145234,37.8,In-State
"St. Cloud, MN Metro Area, Minnesota",,6,0,6,212534.49,76583.80010868744,35.4,In-State
"State College, PA Metro Area, Pennsylvania",,6,0,6,191854.52,74354.27067621371,34.2,In-State
"Utica-Rome, NY Metro Area, New York",,6,0,6,289748.54,70250.48042252153,41.7,In-State
"York-Hanover, PA Metro Area, Pennsylvania",,11,5,6,469202.17,85271.51253275147,41.1,In-State
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area, Florida",,78,73,5,736938.15,71584.91010314616,47.8,In-State
"Greenville, NC Metro Area, North Carolina",,5,0,5,189241.79,57899.67597202444,33,In-State
"Heber, UT Micro Area, Utah",,12,7,5,79514.39,126739.33814095214,39.2,In-State
"Kapaa, HI Micro Area, Hawaii",,10,5,5,70894.38,96900.6564699857,43.1,In-State
"Lexington Park, MD Metro Area, Maryland",,5,0,5,212415.3,126482.06595766511,38.6,In-State
"Macon-Bibb County, GA Metro Area, Georgia",,5,0,5,231279.75,59565.29887270705,38.6,In-State
"Pahrump, NV Micro Area, Nevada",,29,24,5,51663.12,60588.75429397553,52.5,In-State
"Sioux Falls, SD-MN Metro Area, Minnesota",,8,3,5,301655.31,82757.87675655614,36.3,In-State
"Vernal, UT Micro Area, Utah",,5,0,5,39394.61,73316.4441929188,33.2,In-State
"Willmar, MN Micro Area, Minnesota",,5,0,5,48152.43,77135.91498777343,40,In-State
"Brunswick-St. Simons, GA Metro Area, Georgia",,4,0,4,122481.29,66531.23901252735,43.6,In-State
"Cape Girardeau, MO-IL Metro Area, Illinois",,4,0,4,97410.15,66030.89333530255,38,In-State
"Cedar City, UT Micro Area, Utah",,9,5,4,61761.01,67557.62308308782,30.2,In-State
"Chambersburg, PA Metro Area, Pennsylvania",,4,0,4,162660.12,77330.16779000775,42.1,In-State
"College Station-Bryan, TX Metro Area, Texas",,4,0,4,311070.5,60230.66137042312,28.6,In-State
"Corpus Christi, TX Metro Area, Texas",,8,4,4,459200.48,67752.44731223714,37.8,In-State
"Dixon, IL Micro Area, Illinois",,34,30,4,33314.07,70914.10144802756,43.1,In-State
"Douglas, GA Micro Area, Georgia",,4,0,4,52669.89,49103.578804406505,36,In-State
