account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
S1032212403,5110 W GOWEN RD,3N 2E 32,35.4738,35.51,0,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,4.908,0.763,24,35.47,1,43.558947,-116.246296,42.7,PAR #2403 S2NW4 SEC 32 3N 2E #212400-B
R5125560040,2931 S FALLING BROOK WAY,LAKEWOOD UNIT NO 07,1.11,1.111,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.808,0.404,177,1.11,1,43.576026,-116.181281,42.5,LOT 17 BLK 8 LAKEWOOD UNIT NO 7
R5125550215,2750 S GEKELER LN,LAKEWOOD UNIT NO 06,1.1269,1.128,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.92,0.493,176,1.13,1,43.577195,-116.182932,42.3,LOT 3 BLK 10 LAKEWOOD UNIT NO 6
R8226680010,5750 S SURPRISE WAY,SURPRISE VALLEY SUB NO 02,4.9647,4.966,0,City of Boise,R-1B,Boise Single-Family (medium lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.988,0.263,28,28.61,6,43.551044,-116.11364,41.6,LOT 82 BLK 1 SURPRISE VALLEY SUB - PHASE 2 #97043328
R8226690140,S SCHOONER WAY,SURPRISE VALLEY SUB NO 03,3.5289,3.53,0,City of Boise,R-1B,Boise Single-Family (medium lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.028,0.692,28,28.61,6,43.550666,-116.112625,41.6,LOT 111 BLK 1 SURPRISE VALLEY SUB - PHASE 3 #97102617
R5983350330,2691 E EASTDALE DR,NATIVA TERRA SUB,1.905,1.905,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.404,0.229,30,25.2,8,43.605382,-116.155907,41.4,LOT 01 BLK 05 NATIVA TERRA SUB
R5983350415,192 N CASTELLO PL,NATIVA TERRA SUB,1.2381,1.24,5800,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.424,0.811,30,25.2,8,43.605761,-116.152438,41.4,PAR #0415 OF LOT 03 BLK 06 NATIVA TERRA SUB & POR ADJ SEC 7 3N 3E PARCEL A R/S 6
R5983350430,118 N CASTELLO PL,NATIVA TERRA SUB,1.0433,1.047,698500,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.397,0.727,30,25.2,8,43.605374,-116.152118,41.4,LOT 05 BLK 06 NATIVA TERRA SUB
R5983350480,233 N CASTELLO PL,NATIVA TERRA SUB,4.8479,4.849,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.399,0.588,30,25.2,8,43.605385,-116.153573,41.4,LOT 10 BLK 06 NATIVA TERRA SUB
R8226700015,S SURPRISE WAY,SURPRISE VALLEY SUB NO 04,13.1742,13.19,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.12,0.469,28,28.61,6,43.549227,-116.110148,41.4,PAR #0015 OF LOT 112 BLK 1 SURPRISE VALLEY SUB NO 4 PAR C   R/S #4160 #0010-B #9
R1005710140,E CHESTER LN,BOARDWALK TOWNHOUSES,1.0054,1.01,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,3.361,0.235,190,1.01,1,43.586501,-116.177455,41.3,LOT 14 BLK 1 BOARDWALK TOWNHOUSES #9389954 #9386572
R1160210100,258 N BURGUNDY ROSE LN,BURGUNDY VIEW SUB,1.0424,1.043,1070700,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.452,0.623,30,25.2,8,43.606061,-116.156303,41.3,LOT 01 BLK 01 BURGUNDY VIEW SUB
R8226720010,6191 S SURPRISE WAY,SURPRISE VALLEY SUB NO 06,1.6091,1.61,0,City of Boise,R-1B,Boise Single-Family (medium lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.168,0.163,28,28.61,6,43.54528,-116.108192,41.3,LOT 128 BLK 2 SURPRISE VALLEY SUB - PHASE 6 #99090600
R8226710020,6075 S SCHOONER PL,SURPRISE VALLEY SUB NO 05,1.6515,1.655,0,City of Boise,R-1B,Boise Single-Family (medium lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.202,0.178,28,28.61,6,43.546566,-116.107738,41.2,LOT 138 BLK 01 SURPRISE VALLEY SUB PHASE 5 #99090601
R5983350100,2511 E EASTDALE DR,NATIVA TERRA SUB,4.1367,4.141,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.535,0.292,30,25.2,8,43.607205,-116.157633,41.1,LOT 09 BLK 02 NATIVA TERRA SUB
R5983360032,2700 E EASTDALE DR,NATIVA TERRA SUB NO 02,8.0145,8.032,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.533,0.21,30,25.2,8,43.607306,-116.154006,41.1,PAR#0032 OF WLY POR LT 17 BL 3 NATIVA TERRA SUB NO 02 PARCEL C R/S 6748 #0030-B
R5983390030,140 N ALTO VIA CT,NATIVA TERRA SUB NO 04,4.3981,4.402,20700,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.354,0.741,31,24.69,6,43.604733,-116.148949,41.0,LOT 18 BLK 06 NATIVA TERRA SUB NO 04
R5983390040,143 N ALTO VIA CT,NATIVA TERRA SUB NO 04,1.1772,1.178,5500,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.339,0.548,31,24.69,6,43.604525,-116.15024,41.0,LOT 19 BLK 06 NATIVA TERRA SUB NO 04
R8226710010,S SURPRISE WAY,SURPRISE VALLEY SUB NO 05,3.68,3.684,0,City of Boise,R-1B,Boise Single-Family (medium lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.288,0.333,28,28.61,6,43.546875,-116.106071,41.0,LOT 137 BLK 01 SURPRISE VALLEY SUB PHASE 5 #99090601
R5983390028,186 N ALTO VIA CT,NATIVA TERRA SUB NO 04,1.0176,1.016,4800,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.413,0.688,31,24.69,6,43.605585,-116.149092,40.9,PAR#0028 OF SLY POR LT 17 BL 6 NATIVA TERRA SUB NO 04 PARCEL D  R/S 9122 #0022-S
S0907346600,E TABLE ROCK RD,3N 3E 07,2.4939,2.5,484300,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.408,0.753,31,24.69,6,43.605423,-116.145995,40.9,PAR #6600 NEAR SE COR SE4SW4 SEC 7 3N 3E PARCEL 2 R/S 5814 #314802-S
R5983390014,238 N ALTO VIA CT,NATIVA TERRA SUB NO 04,1.2072,1.208,5700,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.498,0.595,31,24.69,6,43.606831,-116.149785,40.7,PAR #0014 OF LOT 16 BLK 6 NATIVA TERRA SUB NO 04 PARCEL A  R/S 9074 #0010-S
S0907346700,E TABLE ROCK RD,3N 3E 07,14.4002,14.43,72500,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.478,0.23,31,24.69,6,43.60652,-116.148425,40.7,PAR #6700 POR SW4 SEC 07 3N 3E #314808-S
S1501141950,E GOWEN RD,2N 2E 01,2.8334,2.836,0,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Commercial,Commercial,non-residential (MF only if mixed),0.31,0.631,32,24.33,2,43.541915,-116.157385,40.7,PAR #1950 POR NW4SE4NE4 SEC 01 2N 2E
